,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Peak memory consumption (bytes),Overall iterations,Overall time,Minimization time,Initial property automaton Locations,Initial property automaton Edges,Initial RCFG Locations,Initial RCFG Edges,Initial product Locations,Initial product Edges,Optimized Product Locations,Optimized Product Edges,Trivial modules,Deterministic modules,Nondeterministic modules,Remainer module,Avg Locs trivial modules,Avg Locs deterministic modules,Avg Locs nondeterministic modules
,bugs,Bug_AssumeFalse.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: Buchi Automizer proved that the LTL property F(G(A)) holds],781034666,583008256,8032504.0,2,156343329,5417120,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE+SimplifyAssumesSBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: Buchi Automizer proved that the LTL property F(G(A)) holds],121486240.0,617086976,7022944.0,2,32784069,480497,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: Buchi Automizer proved that the LTL property F(G(A)) holds],148091343.0,645398528,7022944.0,2,40236118,659598,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,bugs,Bug_AssumeFalse.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: Buchi Automizer proved that the LTL property F(G(A)) holds],102834398.0,617086976,9363880.0,2,34499558,751153,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,bugs,Bug_AssumeFalse.c,Default-LBE-SNME.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: Buchi Automizer proved that the LTL property F(G(A)) holds],98484195.0,639107072,14045784,2,26647540,537970,2,4,18,25,27,57,17,29,1,0,0,-,3.0,0.0,0.0
,bugs,Bug_AssumeFalse.c,Default-LBE-Single.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: Buchi Automizer proved that the LTL property F(G(A)) holds],99538750.0,617086976,9363880.0,2,31452511,390613,2,4,18,25,27,57,17,29,1,0,0,-,3.0,0.0,0.0
,bugs,Bug_AssumeFalse.c,None+SBE+SimplifyAssumesSBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: Buchi Automizer proved that the LTL property F(G(A)) holds],116230512.0,632815616,9364096.0,3,48575985,6689535,2,4,18,25,27,57,27,57,2,0,0,-,2.5,0.0,0.0
,bugs,Bug_AssumeFalse.c,None+SBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: Buchi Automizer proved that the LTL property F(G(A)) holds],94477157.0,617086976,9363880.0,3,36527136,2041611,2,4,18,25,27,57,27,57,2,0,0,-,2.5,0.0,0.0
,bugs,Bug_AssumeFalse.c,None.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: Buchi Automizer proved that the LTL property F(G(A)) holds],86872737.0,627572736,9363880.0,3,30247927,1766612,2,4,18,25,27,57,27,57,2,0,0,-,2.5,0.0,0.0
,bugs,Bug_DNF.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: Buchi Automizer proved that the LTL property G(F(A)) holds],2627816572.0,617086976,433871696,11,2562295546,324487909,2,3,15,22,22,39,11,21,4,0,6,-,5.5,0.0,4.5
